term	Day11_23C.x	Day11_29C.x	Day13_23C.x	Day13_29C.x	Day3_23C.x	Day3_29C.x	Day5_23C.x	Day5_29C.x	Day7_23C.x	Day7_29C.x	Day9_23C.x	Day9_29C.x	Day11_23C.y	Day11_29C.y	Day13_23C.y	Day13_29C.y	Day3_23C.y	Day3_29C.y	Day5_23C.y	Day5_29C.y	Day7_23C.y	Day7_29C.y	Day9_23C.y	Day9_29C.y
aging	1.27263423793096	-1.01102075218754	1.44726477075953	-1.67383290555065	0.175244700534969	0.144642300842009	0.484240517552309	-0.526720485765888	0.528364318616351	-1.54081292099239	0.357779818763163	0.342216399497177	1.27263423793096	1.01102075218754	1.44726477075953	1.67383290555065	0.175244700534969	0.144642300842009	0.484240517552309	0.526720485765888	0.528364318616351	1.54081292099239	0.357779818763163	0.342216399497177
anatomical structure development	-0.663500353316703	-0.690452777794516	-0.676210411061875	-0.627894721937594	1.78289888287241	2.21520326867729	0.411991300883621	0.0611276534097901	-0.55086679371036	-0.622857912682022	-0.515110728866944	-0.124327406473088	0.663500353316703	0.690452777794516	0.676210411061875	0.627894721937594	1.78289888287241	2.21520326867729	0.411991300883621	0.0611276534097901	0.55086679371036	0.622857912682022	0.515110728866944	0.124327406473088
anatomical structure formation invo...	0.592020072205424	1.44604266595828	0.0486069153186751	0.454870476988095	-1.13315276870698	-0.581780798061286	-1.39546428527124	0.663966107159893	-0.791366751767148	-0.332595431899314	-0.725003671043903	1.75385746911951	0.592020072205424	1.44604266595828	0.0486069153186751	0.454870476988095	1.13315276870698	0.581780798061286	1.39546428527124	0.663966107159893	0.791366751767148	0.332595431899314	0.725003671043903	1.75385746911951
ATPase activity	1.22325445557407	-2.08630633692573	-0.256287488420494	-1.3196642661045	-0.263593562015894	-0.307377017283875	-0.033296973767463	1.2632329576146	0.0827048022855258	0.178834702043235	1.20152068078427	0.316978046216242	1.22325445557407	2.08630633692573	0.256287488420494	1.3196642661045	0.263593562015894	0.307377017283875	0.033296973767463	1.2632329576146	0.0827048022855258	0.178834702043235	1.20152068078427	0.316978046216242
autophagy	-0.953508439522437	-1.07562095023846	1.25001169146317	0.976959059179953	-1.97878479466597	-0.110614075225368	0.11775471953055	0.4839423897305	-0.0171210337659324	1.44826239748143	0.187482153719318	-0.328763117686752	0.953508439522437	1.07562095023846	1.25001169146317	0.976959059179953	1.97878479466597	0.110614075225368	0.11775471953055	0.4839423897305	0.0171210337659324	1.44826239748143	0.187482153719318	0.328763117686752
biosynthetic process	1.70003308996352	-0.641410332421996	0.126578616111346	-1.10427292239754	-2.12252934289915	-0.119275512178685	0.590125190784726	0.497686533798267	-0.241574330710358	-0.22866161236996	0.619647574931344	0.923653047388481	1.70003308996352	0.641410332421996	0.126578616111346	1.10427292239754	2.12252934289915	0.119275512178685	0.590125190784726	0.497686533798267	0.241574330710358	0.22866161236996	0.619647574931344	0.923653047388481
carbohydrate metabolic process	0.415824733427077	1.5661354952283	0.388830921336368	1.64576625572027	-0.657095557250581	-0.54915281968333	-0.842485906127574	0.0602078588738289	-1.60755162166693	0.327737225380853	-1.11447122198081	0.366254636742547	0.415824733427077	1.5661354952283	0.388830921336368	1.64576625572027	0.657095557250581	0.54915281968333	0.842485906127574	0.0602078588738289	1.60755162166693	0.327737225380853	1.11447122198081	0.366254636742547
catabolic process	0.927761012133915	-0.136238241208287	0.56799540061701	0.525349345879148	-2.32316227312953	-0.539604286924257	-0.165385963378178	0.941734947326952	-1.10239455451069	1.11195307393518	-0.378067098552665	0.570058637811408	0.927761012133915	0.136238241208287	0.56799540061701	0.525349345879148	2.32316227312953	0.539604286924257	0.165385963378178	0.941734947326952	1.10239455451069	1.11195307393518	0.378067098552665	0.570058637811408
cell adhesion	-0.815150639795268	-1.02094273189838	-0.127881665566076	-0.844194109067985	2.08111813460414	1.70727456013273	0.654565163191223	0.0314097439083524	-0.171939536169277	-0.6396740425423	-0.221133544464884	-0.633451332332274	0.815150639795268	1.02094273189838	0.127881665566076	0.844194109067985	2.08111813460414	1.70727456013273	0.654565163191223	0.0314097439083524	0.171939536169277	0.6396740425423	0.221133544464884	0.633451332332274
cell cycle	-1.10071945348779	-1.03196440770743	-0.882183424007016	1.65484122540292	0.90902424598817	0.45078186987202	1.29538538611681	0.57381189935384	-0.608618461120436	0.0153931957198775	0.0640788184177291	-1.3398308945487	1.10071945348779	1.03196440770743	0.882183424007016	1.65484122540292	0.90902424598817	0.45078186987202	1.29538538611681	0.57381189935384	0.608618461120436	0.0153931957198775	0.0640788184177291	1.3398308945487
